,country,price
0,Albania,20.0
1,Argentina,20.79
2,Australia,31.26
3,Austria,31.19
4,Bosnia and Herzegovina,12.75
5,Brazil,19.92
6,Bulgaria,11.55
7,Canada,34.63
8,Chile,19.34
9,China,20.33
10,Croatia,23.11
11,Cyprus,15.48
12,Czech Republic,18.0
13,England,47.5
14,France,45.62
15,Georgia,18.58
16,Germany,39.01
17,Greece,21.75
18,Hungary,44.2
19,India,13.88
20,Israel,31.3
21,Italy,37.55
22,Japan,24.0
23,Lebanon,25.43
24,Lithuania,10.0
25,Luxembourg,40.67
26,Macedonia,15.31
27,Mexico,29.1
28,Moldova,15.37
29,Montenegro,10.0
30,Morocco,18.83
31,New Zealand,24.17
32,Portugal,26.33
33,Romania,16.4
34,Serbia,24.29
35,Slovakia,15.33
36,Slovenia,28.06
37,South Africa,21.13
38,South Korea,13.5
39,Spain,27.05
40,Switzerland,26.5
41,Turkey,25.8
42,US-France,50.0
43,Ukraine,13.0
44,United States,33.65
45,Uruguay,25.85
